dataset,experiment,experiment_run,best_epoch,best_selection_metric,best_selection_value,hidden_dims,dropout,learning_rate,weight_decay,seed,normalize_features,label_smoothing,epochs_completed,train_accuracy,val_accuracy,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,running_time_seconds
pubmed,paper_gcn,paper_gcn_seed8,177,val_loss,0.5628516674041748,16,0.5,0.01,0.0005,8,True,0.0,187,1.0,0.796,0.797,0.7907341815514721,0.7935100169073314,0.7881164340304633,0.8046236782622691,0.797,0.7962237273354892,2.3614065647125244
pubmed,paper_gcn,paper_gcn_seed9,145,val_loss,0.5970662832260132,16,0.5,0.01,0.0005,9,True,0.0,155,1.0,0.796,0.77,0.7785866014758726,0.7629712183085607,0.7614832704320259,0.787333171636209,0.77,0.7673173423072412,1.738783836364746
pubmed,paper_gcn,paper_gcn_seed10,150,val_loss,0.6017479300498962,16,0.5,0.01,0.0005,10,True,0.0,160,1.0,0.788,0.783,0.7773807296687308,0.7744846794471969,0.7715500263748148,0.7921523692952184,0.783,0.7823508681134608,1.811713695526123
pubmed,baseline,baseline,194,val_accuracy,0.814,64,0.5,0.01,0.0005,2,True,0.0,274,1.0,0.814,0.792,0.7905842672268452,0.7912293708982068,0.7850133755005609,0.8025584557148231,0.792,0.7904321501787677,2.8591904640197754
pubmed,wide,wide,87,val_accuracy,0.814,128,0.5,0.01,0.0005,2,True,0.0,167,1.0,0.814,0.795,0.7889209401709403,0.7952073403708629,0.7876976630315117,0.8031400320512821,0.795,0.7942732135393593,1.890728235244751
pubmed,deep,deep,141,val_accuracy,0.812,128-64,0.55,0.005,0.0005,2,True,0.0,221,1.0,0.812,0.793,0.7792974467393071,0.7943720162090703,0.7796677500902853,0.8061889738168807,0.793,0.7927002166847237,2.5881636142730713
pubmed,low_dropout,low_dropout,120,val_accuracy,0.814,64,0.35,0.01,0.0005,2,True,0.0,200,1.0,0.814,0.779,0.7802770283085244,0.780341598703902,0.7721306810600082,0.7931269478552943,0.779,0.7766154047711391,2.200122594833374
pubmed,pubmed_tuned,pubmed_tuned,112,val_accuracy,0.804,64,0.35,0.005,0.0005,7,True,0.0,202,1.0,0.804,0.774,0.7723497083183798,0.7752005146732883,0.764927856070719,0.7895637005918076,0.774,0.7718453422048717,2.127239227294922
citeseer,paper_gcn,paper_gcn_seed1,200,val_loss,1.0996923446655273,16,0.5,0.01,0.0005,1,True,0.0,200,1.0,0.7,0.687,0.6614207121957215,0.6513471340987446,0.6521498711732675,0.6985218420702729,0.687,0.689063908717973,2.3369932174682617
citeseer,paper_gcn,paper_gcn_seed2,197,val_loss,1.0832843780517578,16,0.5,0.01,0.0005,2,True,0.0,200,1.0,0.7,0.685,0.6611087184850876,0.6504026588968926,0.6522568724624955,0.700857461845273,0.685,0.6902927101689548,2.1313600540161133
citeseer,paper_gcn,paper_gcn_seed3,200,val_loss,1.090354323387146,16,0.5,0.01,0.0005,3,True,0.0,200,1.0,0.684,0.681,0.6571985545952769,0.6490659996975808,0.6498763884458987,0.6935282356841183,0.681,0.6848392276122863,2.274942398071289
citeseer,paper_gcn,paper_gcn_seed4,200,val_loss,1.0636701583862305,16,0.5,0.01,0.0005,4,True,0.0,200,1.0,0.692,0.685,0.6641737968596162,0.6598702496237915,0.6556445263465981,0.7005494883340689,0.685,0.6878177411443339,2.1085503101348877
citeseer,paper_gcn,paper_gcn_seed5,192,val_loss,1.1109304428100586,16,0.5,0.01,0.0005,5,True,0.0,200,1.0,0.678,0.671,0.6492195012925635,0.6354194855055878,0.6376634028943318,0.6878393463575415,0.671,0.6750713680727952,2.21260142326355
citeseer,paper_gcn,paper_gcn_seed6,184,val_loss,1.0443627834320068,16,0.5,0.01,0.0005,6,True,0.0,194,1.0,0.708,0.679,0.6558355920585631,0.6441372755562604,0.643190291467277,0.6949850084603822,0.679,0.6809307522982567,2.0799505710601807
citeseer,paper_gcn,paper_gcn_seed7,177,val_loss,1.119473934173584,16,0.5,0.01,0.0005,7,True,0.0,187,1.0,0.684,0.679,0.6615860748216963,0.6515455061742048,0.6513725289512267,0.7004780231320272,0.679,0.6864513723467732,2.1921069622039795
citeseer,paper_gcn,paper_gcn_seed8,200,val_loss,1.0377663373947144,16,0.5,0.01,0.0005,8,True,0.0,200,1.0,0.704,0.689,0.6606778255340537,0.65442901159032,0.6529033764149902,0.6973433059942806,0.689,0.6887280862406736,2.4140100479125977
citeseer,paper_gcn,paper_gcn_seed9,195,val_loss,1.041475534439087,16,0.5,0.01,0.0005,9,True,0.0,200,1.0,0.694,0.689,0.6633064006867365,0.6479846016587908,0.6507604951928679,0.6993176367197047,0.689,0.6891542211828494,2.197451591491699
citeseer,paper_gcn,paper_gcn_seed10,181,val_loss,1.0596238374710083,16,0.5,0.01,0.0005,10,True,0.0,191,1.0,0.702,0.679,0.6482831546567572,0.6423677756547524,0.6420070339356209,0.6885644323990393,0.679,0.680779897055754,2.2142374515533447
citeseer,baseline,baseline,113,val_accuracy,0.714,64,0.5,0.01,0.0005,2,True,0.0,193,1.0,0.714,0.68,0.6526393802198709,0.6449734454722834,0.6453453983844869,0.6919991698365066,0.68,0.6832038215829978,2.119371175765991
citeseer,wide,wide,129,val_accuracy,0.714,128,0.5,0.01,0.0005,2,True,0.0,209,1.0,0.714,0.69,0.6639233201708999,0.6543215725647155,0.6556462751255779,0.7005974376689944,0.69,0.6922593617954375,2.289339303970337
citeseer,deep,deep,70,val_accuracy,0.708,128-64,0.55,0.005,0.0005,2,True,0.0,150,1.0,0.708,0.665,0.6303660564625476,0.6115869605904621,0.6147638001436638,0.6640218096639149,0.665,0.6592254021906381,1.772057294845581
citeseer,low_dropout,low_dropout,127,val_accuracy,0.71,64,0.35,0.01,0.0005,2,True,0.0,207,1.0,0.71,0.688,0.6599565661046064,0.6536607953249401,0.6536023343237166,0.6993832867314165,0.688,0.6911734310092649,2.289405584335327
citeseer,citeseer_tuned,citeseer_tuned,127,val_accuracy,0.71,64,0.35,0.01,0.0005,2,True,0.0,217,1.0,0.71,0.688,0.6599565661046064,0.6536607953249401,0.6536023343237166,0.6993832867314165,0.688,0.6911734310092649,2.359973669052124
citeseer,citeseer_macro_f1,citeseer_macro_f1,71,val_accuracy,0.692,64,0.5,0.01,0.0005,1,False,0.0,161,1.0,0.692,0.68,0.6524937497404847,0.646041241198389,0.64615294554735,0.6955098172121043,0.68,0.6857870282712629,1.6374452114105225
