model,accuracy,precision,recall,f1,training_time_seconds,testing_time_seconds,running_time_seconds
RNN,0.785,0.7735544805344391,0.80592,0.7894056341339184,11.610338926315308,3.1197588443756104,15.968243598937988
LSTM,0.8266,0.8393881453154876,0.80776,0.8232704146112765,12.540958166122437,5.15867018699646,17.714362859725952
GRU,0.8302,0.8215816127775614,0.8436,0.8324452338661931,11.159374952316284,3.232863426208496,14.408560991287231
